word 	 #docs it exists in 	 doc names
00	1	chesterton-ball.txt, 
00021053	1	milton-paradise.txt, 
00081429	1	milton-paradise.txt, 
00482129	1	milton-paradise.txt, 
01	1	chesterton-ball.txt, 
1	7	melville-moby_dick.txt, whitman-leaves.txt, shakespeare-macbeth.txt, austen-persuasion.txt, shakespeare-caesar.txt, chesterton-ball.txt, austen-sense.txt, 
10	5	melville-moby_dick.txt, whitman-leaves.txt, austen-persuasion.txt, chesterton-ball.txt, austen-sense.txt, 
100	2	melville-moby_dick.txt, chesterton-ball.txt, 
1000	1	chesterton-ball.txt, 
10000	2	chesterton-ball.txt, austen-emma.txt, 
1001	1	bible-kjv.txt, 
1002	1	bible-kjv.txt, 
1003	1	bible-kjv.txt, 
1004	1	bible-kjv.txt, 
1005	1	bible-kjv.txt, 
101	2	melville-moby_dick.txt, bible-kjv.txt, 
1010	1	bible-kjv.txt, 
1011	1	bible-kjv.txt, 
1012	1	bible-kjv.txt, 
1013	1	bible-kjv.txt, 
1014	1	bible-kjv.txt, 
1015	1	bible-kjv.txt, 
1016	1	bible-kjv.txt, 
1017	1	bible-kjv.txt, 
1018	1	bible-kjv.txt, 
1019	1	bible-kjv.txt, 
102	2	melville-moby_dick.txt, bible-kjv.txt, 
1020	1	bible-kjv.txt, 
1021	1	bible-kjv.txt, 
10210	1	bible-kjv.txt, 
10211	1	bible-kjv.txt, 
10212	1	bible-kjv.txt, 
10213	1	bible-kjv.txt, 
10214	1	bible-kjv.txt, 
10215	1	bible-kjv.txt, 
10216	1	bible-kjv.txt, 
10217	1	bible-kjv.txt, 
10218	1	bible-kjv.txt, 
10219	1	bible-kjv.txt, 
1022	1	bible-kjv.txt, 
10220	1	bible-kjv.txt, 
10221	1	bible-kjv.txt, 
10222	1	bible-kjv.txt, 
10223	1	bible-kjv.txt, 
10224	1	bible-kjv.txt, 
10225	1	bible-kjv.txt, 
10226	1	bible-kjv.txt, 
10227	1	bible-kjv.txt, 
10228	1	bible-kjv.txt, 
1023	1	bible-kjv.txt, 
1024	1	bible-kjv.txt, 
1025	1	bible-kjv.txt, 
1026	1	bible-kjv.txt, 
1027	1	bible-kjv.txt, 
1028	1	bible-kjv.txt, 
1029	1	bible-kjv.txt, 
103	2	melville-moby_dick.txt, bible-kjv.txt, 
1030	1	bible-kjv.txt, 
1031	1	bible-kjv.txt, 
10310	1	bible-kjv.txt, 
10311	1	bible-kjv.txt, 
10312	1	bible-kjv.txt, 
10313	1	bible-kjv.txt, 
10314	1	bible-kjv.txt, 
10315	1	bible-kjv.txt, 
10316	1	bible-kjv.txt, 
10317	1	bible-kjv.txt, 
10318	1	bible-kjv.txt, 
10319	1	bible-kjv.txt, 
1032	1	bible-kjv.txt, 
10320	1	bible-kjv.txt, 
10321	1	bible-kjv.txt, 
10322	1	bible-kjv.txt, 
1033	1	bible-kjv.txt, 
1034	1	bible-kjv.txt, 
1035	1	bible-kjv.txt, 
1036	1	bible-kjv.txt, 
1037	1	bible-kjv.txt, 
